Time [ms],rhoC,ViscosityA,ViscosityB,DensityB,MAF,Power [kW],CurrentA,CurrentB,CurrentC,VoltageA,VoltageB,VoltageC,SmpInjFlow,FlowA,FlowB,DiffFlow,DiffCons,Soot Dilution Eng 1,NO (350
20601,849.975408,3.415086,3.442173,824.466024,-0.286948,0.845316,0.749397,0.499063,2.154241,427.264671,444.006697,428.156776,-0.026787,1605.441039,1583.096667,22.344371,0.683217,1065.021635,200.641666
20803,849.119936,3.467111,3.515108,825.12616,-0.185722,0.557978,0.64276,0.47427,1.12497,427.11874,443.786149,427.955785,-0.017309,1605.342507,1582.799082,22.543425,0.684469,1064.541852,200.641666
21000,848.947366,3.491686,3.534034,825.355993,-0.205021,0.560737,0.604164,0.529349,1.117821,427.08254,443.663472,427.925846,-0.018457,1605.319056,1582.631684,22.687372,0.68573,1066.578649,200.641666
21202,846.951949,3.478604,3.520184,825.115252,-0.137295,0.521495,0.663128,0.355222,1.07942,427.365563,443.969232,428.146657,-0.0122,1605.339133,1582.410751,22.928382,0.687004,1066.960474,201.004584
21401,847.668872,3.478633,3.468455,825.030467,-0.083381,0.416103,0.798353,0.311094,0.564456,427.233188,443.781491,427.972321,-0.006646,1605.503332,1582.326366,23.176966,0.688292,1073.620783,201.004584
21601,849.561814,3.459932,3.450663,824.821712,-0.070845,0.543625,0.653358,0.690309,0.831553,427.366443,443.876418,428.056631,-0.005878,1606.321098,1582.396125,23.924973,0.689621,1069.522037,201.004584
21801,853.049285,3.431587,3.421061,824.800552,-0.018756,0.851313,0.898289,0.97459,1.538601,427.237803,443.674153,427.878394,-0.000172,1606.183375,1582.545837,23.637538,0.690934,1069.3239,201.004584
22010,844.517318,3.463962,3.453143,825.07615,-0.002491,0.65558,0.994824,0.559665,1.079252,427.402548,443.825566,427.995242,0.001013,1605.801507,1582.29171,23.509797,0.692241,1060.713543,201.212793
22224,848.227368,3.500344,3.472908,825.245311,0.068699,0.405157,0.642839,0.36377,0.620496,427.424142,443.783523,427.967348,0.009024,1605.552668,1582.0316,23.521068,0.693548,1063.910434,201.212793
22442,848.884446,3.426233,3.407927,824.58415,0.146218,0.519049,0.609182,0.440287,1.03532,427.561555,443.870502,428.00896,0.01592,1605.388475,1582.007708,23.380766,0.694847,1059.715893,
22602,846.776509,3.520633,3.498726,825.322366,0.212025,0.464004,0.634035,0.461391,0.766739,427.428383,443.616705,427.776685,0.023689,1605.269494,1581.858265,23.411229,0.696147,1066.151038,201.212793
22801,849.022174,3.441215,3.428372,824.661102,0.217015,0.382775,0.588563,0.393944,0.55211,427.739627,443.985845,428.044537,0.024014,1604.962416,1581.237229,23.725186,0.697466,1060.672089,201.212793
23002,848.285574,3.460654,3.435198,825.016339,0.323493,0.501162,0.698366,0.345121,0.973341,427.563924,443.69251,427.717317,0.034377,1604.904838,1581.63808,23.266758,0.698758,1064.255959,201.212793
23202,847.607387,3.479389,3.459577,824.965632,0.258447,0.558666,0.627115,0.555102,1.05886,427.677365,443.908199,427.837633,0.027381,1604.96664,1581.88723,23.07941,0.700041,1064.719265,200.400714
23403,850.166629,3.360414,3.409106,824.740925,0.338513,0.537367,0.861511,0.524686,0.770685,427.575281,443.717974,427.637468,0.035845,1605.10605,1582.13064,22.97541,0.701317,1066.043281,200.400714
23602,846.998883,3.395097,3.43938,824.867663,0.361382,0.574818,0.980539,0.776766,0.541971,427.546957,443.727282,427.541486,0.037473,1604.993551,1581.465286,23.528265,0.702625,1068.303824,200.400714
23802,846.353897,3.410226,3.468272,825.201247,0.403902,0.569295,0.646606,0.934866,0.689222,427.581636,443.795782,427.556667,0.04193,1605.239914,1581.339881,23.900033,0.703953,1063.672586,200.400714
24001,851.421553,3.379756,3.435138,824.723599,0.317063,0.62369,0.619446,0.980725,0.888378,427.61484,443.969315,427.708665,0.03299,1605.9239,1581.583571,24.340329,0.705305,1065.587926,200.400714
24201,847.865217,3.417499,3.469713,825.072911,0.332501,0.415495,0.605422,0.527294,0.530487,427.462145,443.878029,427.550371,0.033963,1605.563166,1581.470734,24.092433,0.706644,1062.300072,199.587645
24410,849.412813,3.384882,3.417625,824.707093,0.280883,0.666439,0.943694,0.738696,0.989333,427.437538,443.918415,427.575754,0.02941,1605.907371,1581.578499,24.328871,0.707995,1070.094846,199.587645
24633,850.059848,3.40321,3.439185,824.98384,0.326725,0.682544,1.08578,0.433591,1.229241,427.425483,443.991634,427.581276,0.033642,1605.684756,1581.50194,24.182816,0.709339,1066.302091,
24802,850.289395,3.390083,3.420686,824.987674,0.284599,0.464145,0.621849,0.419307,0.822651,427.480347,444.150083,427.713929,0.029465,1606.041535,1581.595148,24.446387,0.710697,1066.075162,199.587645
25002,851.524644,3.410532,3.445285,825.029565,0.414286,0.411381,0.593108,0.325571,0.736128,427.214972,443.943125,427.388114,0.042349,1605.746638,1581.318151,24.428487,0.712055,1069.473892,199.587645
25202,846.1264,3.414164,3.429664,825.039263,0.385996,0.46807,0.797321,0.422375,0.659797,427.461393,444.320945,427.747944,0.039565,1605.437622,1581.319294,24.118328,0.713395,1065.143248,200.407658
25402,847.598779,3.430874,3.459214,825.218573,0.361225,0.466252,0.6416,0.559859,0.665461,427.368047,444.300117,427.715817,0.036614,1604.865387,1581.331865,23.533522,0.714702,1067.202886,200.407658
25602,846.88247,3.404183,3.429074,824.888187,0.268294,0.460378,0.651218,0.505663,0.689542,427.092121,443.994793,427.467345,0.027863,1604.62893,1581.202836,23.426094,0.716004,1066.333111,200.407658
25801,845.254327,3.389472,3.418576,824.912731,0.29917,0.404834,0.709822,0.296864,0.622488,427.131454,444.117303,427.580361,0.031109,1604.484552,1580.932998,23.551554,0.717313,1063.435679,200.407658
